train.groups,atoms,n.train.atoms,test.fold,seed,algorithm,percent.error
other,16381.8,16381.8,1,2,cv_glmnet,2.51617541337168
other,16381.8,4095.45,1,3,cv_glmnet,2.73184759166068
other,16381.8,8190.9,1,3,cv_glmnet,2.58806613946801
other,16381.8,16381.8,1,3,cv_glmnet,2.55212077641984
other,25027.2,4095.45,2,1,cv_glmnet,3.07523338824822
other,25027.2,8190.9,2,1,cv_glmnet,2.63591433278418
other,25027.2,16381.8,2,1,cv_glmnet,2.74574409665019
other,25027.2,25027.2,2,1,cv_glmnet,2.8006589785832
other,25027.2,4095.45,2,2,cv_glmnet,3.13014827018122
other,25027.2,8190.9,2,2,cv_glmnet,2.96540362438221
other,25027.2,16381.8,2,2,cv_glmnet,2.8555738605162
other,25027.2,25027.2,2,2,cv_glmnet,2.8006589785832
other,25027.2,4095.45,2,3,cv_glmnet,2.9104887424492
other,25027.2,8190.9,2,3,cv_glmnet,2.74574409665019
other,25027.2,16381.8,2,3,cv_glmnet,2.8006589785832
other,25027.2,25027.2,2,3,cv_glmnet,2.8006589785832
other,16381.8,4095.45,2,1,cv_glmnet,2.9126213592233
other,16381.8,8190.9,2,1,cv_glmnet,2.69687162891046
other,16381.8,16381.8,2,1,cv_glmnet,2.69687162891046
other,16381.8,4095.45,2,2,cv_glmnet,3.09241280115067
other,16381.8,8190.9,2,2,cv_glmnet,2.73282991729594
other,16381.8,16381.8,2,2,cv_glmnet,2.80474649406688
other,16381.8,4095.45,2,3,cv_glmnet,3.09241280115067
other,16381.8,8190.9,2,3,cv_glmnet,2.66091334052499
other,16381.8,16381.8,2,3,cv_glmnet,2.69687162891046
other,25027.2,4095.45,3,1,cv_glmnet,2.58099945085118
other,25027.2,8190.9,3,1,cv_glmnet,2.63591433278418
other,25027.2,16381.8,3,1,cv_glmnet,2.58099945085118
other,25027.2,25027.2,3,1,cv_glmnet,2.74574409665019
other,25027.2,4095.45,3,2,cv_glmnet,2.63591433278418
other,25027.2,8190.9,3,2,cv_glmnet,2.58099945085118
other,25027.2,16381.8,3,2,cv_glmnet,2.41625480505217
other,25027.2,25027.2,3,2,cv_glmnet,2.63591433278418
other,25027.2,4095.45,3,3,cv_glmnet,2.8006589785832
other,25027.2,8190.9,3,3,cv_glmnet,2.74574409665019
other,25027.2,16381.8,3,3,cv_glmnet,2.58099945085118
other,25027.2,25027.2,3,3,cv_glmnet,2.58099945085118
other,16381.8,4095.45,3,1,cv_glmnet,2.87666307083783
other,16381.8,8190.9,3,1,cv_glmnet,2.80474649406688
other,16381.8,16381.8,3,1,cv_glmnet,2.87666307083783
other,16381.8,4095.45,3,2,cv_glmnet,3.09241280115067
other,16381.8,8190.9,3,2,cv_glmnet,2.76878820568141
other,16381.8,16381.8,3,2,cv_glmnet,2.80474649406688
other,16381.8,4095.45,3,3,cv_glmnet,2.80474649406688
other,16381.8,8190.9,3,3,cv_glmnet,2.94857964760877
other,16381.8,16381.8,3,3,cv_glmnet,2.80474649406688
other,25027.2,4095.45,4,1,cv_glmnet,2.74574409665019
other,25027.2,8190.9,4,1,cv_glmnet,2.63591433278418
other,25027.2,16381.8,4,1,cv_glmnet,2.74574409665019
other,25027.2,25027.2,4,1,cv_glmnet,2.63591433278418
other,25027.2,4095.45,4,2,cv_glmnet,2.69082921471719
other,25027.2,8190.9,4,2,cv_glmnet,2.52608456891818
other,25027.2,16381.8,4,2,cv_glmnet,2.47116968698517
other,25027.2,25027.2,4,2,cv_glmnet,2.8555738605162
other,25027.2,4095.45,4,3,cv_glmnet,3.02031850631521
other,25027.2,8190.9,4,3,cv_glmnet,3.02031850631521
other,25027.2,16381.8,4,3,cv_glmnet,2.9104887424492
other,25027.2,25027.2,4,3,cv_glmnet,2.74574409665019
other,16381.8,4095.45,4,1,cv_glmnet,2.69687162891046
other,16381.8,8190.9,4,1,cv_glmnet,2.37324703344121
other,16381.8,16381.8,4,1,cv_glmnet,2.30133045667026
other,16381.8,4095.45,4,2,cv_glmnet,2.62495505213952
other,16381.8,8190.9,4,2,cv_glmnet,2.1215390147429
other,16381.8,16381.8,4,2,cv_glmnet,2.26537216828479
other,16381.8,4095.45,4,3,cv_glmnet,2.37324703344121
other,16381.8,8190.9,4,3,cv_glmnet,2.30133045667026
other,16381.8,16381.8,4,3,cv_glmnet,2.30133045667026
other,25027.2,4095.45,5,1,cv_glmnet,2.58099945085118
other,25027.2,8190.9,5,1,cv_glmnet,2.52608456891818
other,25027.2,16381.8,5,1,cv_glmnet,2.47116968698517
other,25027.2,25027.2,5,1,cv_glmnet,2.41625480505217
other,25027.2,4095.45,5,2,cv_glmnet,2.9104887424492
other,25027.2,8190.9,5,2,cv_glmnet,2.58099945085118
other,25027.2,16381.8,5,2,cv_glmnet,2.58099945085118
other,25027.2,25027.2,5,2,cv_glmnet,2.52608456891818
other,25027.2,4095.45,5,3,cv_glmnet,2.69082921471719
other,25027.2,8190.9,5,3,cv_glmnet,2.69082921471719
other,25027.2,16381.8,5,3,cv_glmnet,2.47116968698517
other,25027.2,25027.2,5,3,cv_glmnet,2.63591433278418
other,16381.8,4095.45,5,1,cv_glmnet,3.09241280115067
other,16381.8,8190.9,5,1,cv_glmnet,2.58899676375405
other,16381.8,16381.8,5,1,cv_glmnet,2.62495505213952
other,16381.8,4095.45,5,2,cv_glmnet,2.48112189859763
other,16381.8,8190.9,5,2,cv_glmnet,2.73282991729594
other,16381.8,16381.8,5,2,cv_glmnet,2.5170801869831
other,16381.8,4095.45,5,3,cv_glmnet,3.09241280115067
other,16381.8,8190.9,5,3,cv_glmnet,2.58899676375405
other,16381.8,16381.8,5,3,cv_glmnet,2.66091334052499
other,25027.2,4095.45,6,1,cv_glmnet,2.74574409665019
other,25027.2,8190.9,6,1,cv_glmnet,2.69082921471719
other,25027.2,16381.8,6,1,cv_glmnet,2.74574409665019
other,25027.2,25027.2,6,1,cv_glmnet,2.69082921471719
other,25027.2,4095.45,6,2,cv_glmnet,2.9104887424492
other,25027.2,8190.9,6,2,cv_glmnet,2.63591433278418
other,25027.2,16381.8,6,2,cv_glmnet,2.8006589785832
other,25027.2,25027.2,6,2,cv_glmnet,2.9104887424492
other,25027.2,4095.45,6,3,cv_glmnet,2.74574409665019
other,25027.2,8190.9,6,3,cv_glmnet,2.63591433278418
other,25027.2,16381.8,6,3,cv_glmnet,2.69082921471719
other,25027.2,25027.2,6,3,cv_glmnet,2.74574409665019
other,16381.8,4095.45,6,1,cv_glmnet,3.09241280115067
other,16381.8,8190.9,6,1,cv_glmnet,2.76878820568141
other,16381.8,16381.8,6,1,cv_glmnet,2.84070478245236
other,16381.8,4095.45,6,2,cv_glmnet,2.80474649406688
other,16381.8,8190.9,6,2,cv_glmnet,2.84070478245236
other,16381.8,16381.8,6,2,cv_glmnet,2.84070478245236
other,16381.8,4095.45,6,3,cv_glmnet,2.76878820568141
other,16381.8,8190.9,6,3,cv_glmnet,2.73282991729594
other,16381.8,16381.8,6,3,cv_glmnet,2.73282991729594
other,25027.2,4095.45,7,1,cv_glmnet,2.47388675096207
other,25027.2,8190.9,7,1,cv_glmnet,2.41891148982958
other,25027.2,16381.8,7,1,cv_glmnet,2.36393622869709
other,25027.2,25027.2,7,1,cv_glmnet,2.41891148982958
other,25027.2,4095.45,7,2,cv_glmnet,2.58383727322705
other,25027.2,8190.9,7,2,cv_glmnet,2.41891148982958
other,25027.2,16381.8,7,2,cv_glmnet,2.47388675096207
other,25027.2,25027.2,7,2,cv_glmnet,2.3089609675646
other,25027.2,4095.45,7,3,cv_glmnet,2.69378779549203
other,25027.2,8190.9,7,3,cv_glmnet,2.47388675096207
other,25027.2,16381.8,7,3,cv_glmnet,2.36393622869709
other,25027.2,25027.2,7,3,cv_glmnet,2.3089609675646
other,16381.8,4095.45,7,1,cv_glmnet,3.02049622437972
other,16381.8,8190.9,7,1,cv_glmnet,2.94857964760877
other,16381.8,16381.8,7,1,cv_glmnet,2.66091334052499
other,16381.8,4095.45,7,2,cv_glmnet,2.84070478245236
other,16381.8,8190.9,7,2,cv_glmnet,2.66091334052499
other,16381.8,16381.8,7,2,cv_glmnet,2.66091334052499
other,16381.8,4095.45,7,3,cv_glmnet,2.73282991729594
other,16381.8,8190.9,7,3,cv_glmnet,2.76878820568141
other,16381.8,16381.8,7,3,cv_glmnet,2.69687162891046
other,25027.2,4095.45,8,1,cv_glmnet,3.07861462341946
other,25027.2,8190.9,8,1,cv_glmnet,2.69378779549203
other,25027.2,16381.8,8,1,cv_glmnet,2.63881253435954
other,25027.2,25027.2,8,1,cv_glmnet,2.8587135788895
other,25027.2,4095.45,8,2,cv_glmnet,3.02363936228697
other,25027.2,8190.9,8,2,cv_glmnet,2.80373831775701
